1564979520192618497,2022-08-31 14:12:48+00:00,"NEW
@ChrisEvans filming #painhustlers in Miami recently
#ChrisEvans #painhustlers #makingof https://t.co/3QjzCL5e7x","Boston, MA",2,4
1564976449265618944,2022-08-31 14:00:36+00:00,"The #Percival #Best Seller List is OUT! From the #Impressionist Knit #ChrisEvans wore on the #redcarpet, to our world #renowned #linens and all of #TheRock 's personal #faves. 

Shop our #finest pieces, selected by YOU.
https://t.co/YpObVWeOtm https://t.co/QIByuE8qQf",London,0,3
1564976375131525122,2022-08-31 14:00:18+00:00,"Let @ChrisEvans wish you and your pup a happy (belated) National Dog Day!
The actor posted on Instagram early Friday, declaring ""In my house, every day is #internationaldogday"" while sharing photos of his beloved rescue dog, Dodger.
#Pawtocol #UPI $UPI
https://t.co/UpoAscsNxF",,1,3
1564971793739386880,2022-08-31 13:42:06+00:00,"“What to Watch” Wednesday
Check out the NEW #CriticsChoice Daily “What to Watch” 🎬📺 by @criticschoice at https://t.co/mzY9a4O1qz ⭐️⭐️⭐️⭐️

Here’s one I did for @netflix #TheGrayMan 😎 Do you agree? 

#whattowatch #whattowatchonnetflix  #natashagargiulo #netflix #ryangosling https://t.co/fVxgWliZg0","Montreal, Quebec, Canada",1,2
1564969130708590594,2022-08-31 13:31:31+00:00,"Dose @Eminem or @ChrisEvans count??? 

&amp; if I did I wouldn’t be telling 😘😂 https://t.co/gI2lepNC6g","England, United Kingdom",0,2
1564967775000580102,2022-08-31 13:26:07+00:00,Good morning @ChrisEvans ☀️😊,,0,11
1564962431796912129,2022-08-31 13:04:53+00:00,"Men who had nice kitchens but can't cook please let me use your kitchen

@ChrisEvans I'm specifically talking to you",dodger's dad house ,1,5
1564962406475993090,2022-08-31 13:04:47+00:00,That jacket doesn’t fit him! Can’t someone in wardrobe find a better jacket? #ChrisEvans https://t.co/Y32LZSbbI0,Orlando,0,0
1564951895793434627,2022-08-31 12:23:02+00:00,Coming to a theater near you #wednesdaythought #HumpDay #HumpDayVibes https://t.co/zdwI80I4pK #Marvel #Disney @CBR #ChrisEvans #MarkjRuffalo #RottenTomatoes #SJW #BrieLarson #CaptainMarvel  #RobertIger @RottenTomatoes #Oprah #NYTimes #LATimes #MondayMotivation  #TMZ #BET #CBR,,0,0
1564951026389712896,2022-08-31 12:19:34+00:00,"This is my @ChrisEvans in anything blue appreciation tweet.💙😊

#ChrisEvansInBlue https://t.co/BKE3PElvoG","Kaiserslautern, Rheinland-Pfal",0,4
1564942368952172547,2022-08-31 11:45:10+00:00,"When I have to watch the film ""#Barbie"" 😂

#RyanGosling #MargotRobbie https://t.co/bVk62kSlam",,0,0
1564938738240823298,2022-08-31 11:30:45+00:00,"How  bloody can a game of chess be? Get your copies on Amazon to find out @KavalAuthorActs @CinemaDirectors  @apollopods @Nickyshearsby22 @StacyNi90756287 @apollopods @Pcast_ol @TheOldMansPodc1 @thatsscary_pod @JamesGunn @chrishemsworth @ChrisEvans 
https://t.co/0XYNB1UbyU",,1,3
1564937709524746242,2022-08-31 11:26:39+00:00,"Buddy cop comedies are a dime-a-dozen, but a buddy private investigator comedy isn’t something you see every day. Today we’re covering one we've wanted to check out since it's original trailer in 2016: @theniceguys starring #RyanGosling and @russellcrowe.

https://t.co/7YwqCTkHBW",A Theater Near You,1,3
1564936977635594243,2022-08-31 11:23:45+00:00,Why I never knew about this pic before &amp; wtf is this 😭😭😭😭😭😭😭 #chrisevans https://t.co/1KPvPsHHli,France,0,1
1564929643467026433,2022-08-31 10:54:36+00:00,love u @chrisevans,,0,0
1564927447816077313,2022-08-31 10:45:53+00:00,"Actor @ChrisEvans and his dog, Dodger, have teamed up with leading dog nutrition brand, @thinkjinx to make dog food healthier. Hit the link to find out how well matched the campaign is: https://t.co/Ix1K47jYnJ https://t.co/p1JQMGfyB6","London, England",0,0
1564921677087182848,2022-08-31 10:22:57+00:00,"Any #ChrisEvans fans? 🎞 #FantasticFour #CaptainAmerica 

Did you know that the #USA #actor is a HUGE @IWC #watches fan?🤩 his fav model is the #Portugieser from #IWC, do you like it too? 👀

➡️View them now: https://t.co/PPvjnxnjpO https://t.co/DlwS4w2rWx","Berlin, London, Paris ",0,1
1564921072365015043,2022-08-31 10:20:33+00:00,"Film - The Gray Man (2022)
Director - Anthony Russo and Joe Russo

#film #bciff #thegrayman #director #anthonyrusso #joerusso #thagraymanmovie #actionmovie #thrillermovies #thriller https://t.co/czHBZgsLmg","Paris, France ",0,0
1564919875704954881,2022-08-31 10:15:47+00:00,"Knives Out
Snowpiercer
Gifted
Fantastic Four
#TheGrayMan 
What’s your number 
Sunshine
Puncture
Not another teen movie
Fantastic Four
Before we go
Push
…
And there’s more https://t.co/XNji6NMOBe",,0,1
1564914108729737216,2022-08-31 09:52:52+00:00,"✨TONIGHT'S SHOW✨
The boys are back! 💪🏽
Tune in for our reviews of 20th Century Fox's #PreyMovie, Brad Pitt in #BulletTrain and Netflix’s recent action romp #TheGrayMan starring Ryan Gosling and Chris Evans 🔥

⏰ 8:00pm AEST
🔴 https://t.co/VfwHBLF4KI https://t.co/R7BeTaExpF","Sydney, Australia",0,1
1564912623405121537,2022-08-31 09:46:58+00:00,Idk how to feel about this #ChrisEvans #painhuslters https://t.co/wrGMsnwr8H,u dont know at all,0,0
1564907679168053248,2022-08-31 09:27:19+00:00,Can you imagine if @ChrisEvans was cast as Johnny Storm again in the new #FantasticFour I would go feral…,,0,1
1564906498215788544,2022-08-31 09:22:38+00:00,watch d grayman https://t.co/fR7aEhZNOd,,0,1
1564906291193331712,2022-08-31 09:21:49+00:00,"if d grayman has one million fans, i am one of them. if d grayman has one hundred fans, i am one of them. if d grayman has ten fans, i am one of them. if d grayman has no fans, i am in the ground. https://t.co/S1wFrCBYVk",,0,0
1564905881745104897,2022-08-31 09:20:11+00:00,"Filming Pain Hustlers in Miami.

Repost from thetrashstache on Tumblr.

@chrisevans #chrisevans #painhustlers https://t.co/mhm04Av1U7",United Kingdom,1,7
